,Name,City,State,School Ownership,Number of Undergraduate Students,Share of Female Students,Share of Male Students,Share of Undergraduates Aged 25 and Above,Average Age of Entry,Admission Rate,Completion Rate,Median Earnings of Students 10 Years After Entry,Median Debt for Students Who Have Completed,Share of Students Who Received a Federal Loan,Median Family Income,Average Cost of Attendance,Average Faculty Salary,Net Tuition Revenue per Student
921,Trinity College,Hartford,CT,2,2174,0.528340081,0.47165991900000004,0.0351,20.0,0.3387,0.8102,66100.0,21500.0,0.8704453441,99076.0,68940.0,10388.0,30920
922,Marian University,Indianapolis,IN,2,2173,0.6651949963,0.3348050037,0.2623,25.0,0.5872,0.5217,43300.0,27000.0,0.9698307579,49554.0,44810.0,6592.0,21194
923,West Virginia University at Parkersburg,Parkersburg,WV,1,2172,0.6146788991,0.38532110090000005,0.384,25.0,,0.3609,28000.0,12661.0,0.5993883792,25133.0,9888.0,5528.0,3582
924,Gustavus Adolphus College,Saint Peter,MN,2,2170,0.5415704388,0.4584295612,0.0092,19.0,0.6783,0.7983,51700.0,27000.0,0.954965358,78419.0,54204.0,7202.0,18097
925,North Greenville University,Tigerville,SC,2,2167,0.4636711281,0.5363288719,0.078,21.0,0.6085,0.5112,34400.0,21300.5,0.8126195029,50820.0,32562.0,6283.0,8918
926,Union College,Schenectady,NY,2,2167,0.4956822107,0.5043177892999999,0.0251,19.0,0.3737,0.8544,65400.0,25828.0,0.9620034542,113111.0,66213.0,11293.0,31992
927,Salve Regina University,Newport,RI,2,2160,0.7141403866,0.2858596134,0.0358,19.0,0.7189,0.709,53500.0,27000.0,0.982706002,96000.0,54821.0,8693.0,18101
928,Dominican University,River Forest,IL,2,2155,0.6973578863,0.30264211370000005,0.1069,21.0,0.6498,0.6208,47100.0,25000.0,0.9079263411,38451.0,40038.0,7439.0,15326
929,South Georgia State College,Douglas,GA,1,2150,0.6108134437,0.3891865563,0.1433,21.0,,0.1008,30300.0,11000.0,0.6492937165,25804.0,14347.0,4871.0,1492
930,Rose-Hulman Institute of Technology,Terre Haute,IN,2,2146,0.2859450727,0.7140549273,0.0078,19.0,0.6094,0.8075,80900.0,27000.0,0.957996769,105358.0,62503.0,10968.0,25924
931,DePauw University,Greencastle,IN,2,2137,0.5024469821,0.49755301789999995,0.0014,19.0,0.6725,0.8116,54000.0,26375.0,0.9445350734,82288.0,60888.0,9547.0,18304
932,Spelman College,Atlanta,GA,2,2134,,,0.0131,19.0,0.4005,0.7429,47000.0,27000.0,0.9105858171,43781.0,46359.0,8219.0,17418
933,Southwest Minnesota State University,Marshall,MN,1,2133,0.5977011494,0.40229885060000004,0.0711,22.0,0.6163,0.4494,37600.0,20500.0,0.8883415435,51571.0,20068.0,9059.0,3953
934,Hamline University,Saint Paul,MN,2,2132,0.6320072333,0.36799276670000003,0.0673,20.0,0.6911,0.6673,49200.0,24400.0,0.9231464738,60017.0,48293.0,7497.0,16244
935,Macalester College,Saint Paul,MN,2,2116,0.593385214,0.406614786,0.0028,19.0,0.4058,0.8724,47600.0,21500.0,0.9319066148,88991.0,64007.0,10322.0,24323
936,Trevecca Nazarene University,Nashville,TN,2,2112,0.675904542,0.32409545799999995,0.315,28.0,0.7038,0.5382,40500.0,17764.0,0.8775981524,40243.0,35805.0,6644.0,12650
937,Ohio Northern University,Ada,OH,2,2111,0.415625,0.584375,0.0212,20.0,0.661,0.7562,63500.0,27000.0,0.9427083333,79216.0,44728.0,8606.0,15931
938,Marymount Manhattan College,New York,NY,2,2109,0.7897042716,0.2102957284,0.0898,20.0,0.7953,0.4929,41400.0,25000.0,0.8543263965,58699.0,52199.0,8699.0,22094
939,University of West Alabama,Livingston,AL,1,2106,0.5577586207,0.44224137929999996,0.1525,22.0,0.2821,0.3324,37400.0,26500.0,0.9206896552,25552.0,19671.0,6711.0,8192
940,South Florida State College,Avon Park,FL,1,2104,0.6499215071,0.35007849290000004,0.2514,23.0,,0.3954,26900.0,4711.0,0.1177394035,20658.0,10052.0,5582.0,1331
941,Misericordia University,Dallas,PA,2,2100,0.6512488437,0.3487511563,0.1971,22.0,0.7879,0.7609,50400.0,27000.0,0.9620721554,69527.0,44582.0,7287.0,16948
942,Union University,Jackson,TN,2,2099,0.7127659574,0.28723404259999996,0.2788,26.0,0.5998,0.6844,43200.0,23591.0,0.8945841393,39416.0,49158.0,7378.0,14565
943,Everglades University,Boca Raton,FL,2,2099,0.552253116,0.44774688399999996,0.8471,33.0,0.7344,0.5063,42100.0,40750.0,0.8801534036,22435.0,31292.0,4699.0,18350
944,Tiffin University,Tiffin,OH,2,2095,0.5100563154,0.48994368460000004,0.2506,23.0,0.6883,0.2816,42600.0,26117.0,0.9629927595,42858.0,36023.0,7143.0,11986
945,Hondros College of Nursing,Westerville,OH,3,2093,0.9234468938,0.0765531062,0.7836,30.0,0.5498,0.375,,20000.0,0.922244489,23351.0,29722.0,4773.0,13079
946,Colorado College,Colorado Springs,CO,2,2091,0.6200607903,0.37993920969999995,0.0062,19.0,0.1513,0.8811,45400.0,20497.5,0.8358662614,74864.0,66400.0,11224.0,33981
947,Benedict College,Columbia,SC,2,2090,0.4555687204,0.5444312795999999,0.0789,20.0,,0.265,25400.0,41750.0,0.9360189573,17950.0,32443.0,5907.0,10594
948,North Carolina Wesleyan College,Rocky Mount,NC,2,2086,0.605680317,0.394319683,0.4491,28.0,0.5297,0.3141,38600.0,21845.0,0.9247027741,24995.0,41136.0,5987.0,10818
949,William Carey University,Hattiesburg,MS,2,2086,0.6626776365,0.3373223635,0.2448,25.0,0.4882,0.5694,34700.0,20832.0,0.7591623037,24691.0,26640.0,6570.0,12430
950,University of the Cumberlands,Williamsburg,KY,2,2085,0.5649847095,0.4350152905,0.2863,24.0,0.7436,0.4085,35100.0,15000.0,0.8302752294,38747.0,37529.0,5136.0,8018
951,Lesley University,Cambridge,MA,2,2074,0.7928571429,0.20714285710000002,0.2052,23.0,0.7261,0.5966,38700.0,23250.0,0.9366071429,51995.0,43407.0,8453.0,19054
952,Franciscan University of Steubenville,Steubenville,OH,2,2071,0.5899014778,0.4100985222,0.0391,20.0,0.8318,0.7768,37700.0,22620.5,0.9433497537,88379.0,36378.0,7762.0,16251
953,King's College,Wilkes-Barre,PA,2,2065,0.5028846154,0.49711538460000004,0.0637,19.0,0.7092,0.6673,51000.0,27000.0,0.9605769231,76296.0,48168.0,8122.0,18415
954,McKendree University,Lebanon,IL,2,2065,0.5425631431,0.4574368569,0.2628,23.0,0.617,0.5123,45800.0,22912.0,0.8503274088,49041.0,41031.0,6872.0,11450
955,University of Mary,Bismarck,ND,2,2064,0.6509528586,0.34904714140000004,0.177,22.0,0.7635,0.5374,48000.0,21000.0,0.9518555667,77856.0,27400.0,6690.0,15559
956,Assumption College,Worcester,MA,2,2058,0.597,0.403,0.0638,20.0,0.7899,0.71,55200.0,27000.0,0.97,103301.0,49821.0,8415.0,14697
957,Shenandoah University,Winchester,VA,2,2055,0.6084990958,0.39150090420000005,0.1314,21.0,0.8325,0.6327,45800.0,25000.0,0.9584086799,74547.0,45388.0,7815.0,17830
958,Kent State University at Trumbull,Warren,OH,1,2055,0.6364963504,0.36350364960000003,0.3193,21.0,,0.202,38000.0,25246.5,0.8863399374,50411.0,13275.0,7809.0,6938
959,Waldorf University,Forest City,IA,3,2053,0.4436987323,0.5563012677,0.651,29.0,0.7185,0.2909,37800.0,17187.0,0.8456375839,40142.0,32847.0,4977.0,7438
960,SUNY Polytechnic Institute,Utica,NY,1,2052,0.3591212989,0.6408787011,0.1716,22.0,0.6247,0.5152,51000.0,15094.0,0.8156638013,46601.0,22265.0,9054.0,6295
961,University of Evansville,Evansville,IN,2,2049,0.6136071887,0.3863928113,0.0542,20.0,0.6996,0.717,41800.0,26950.0,0.8998716303,68453.0,47175.0,7313.0,13934
962,University of Mount Union,Alliance,OH,2,2049,0.4532304725,0.5467695275,0.0153,19.0,0.8109,0.6181,42900.0,27440.0,0.9604628737,74635.0,40962.0,8010.0,13659
963,Strayer University-Tennessee,Memphis,TN,3,2049,0.7508344853,0.24916551470000003,0.8367,33.0,,0.3333,45900.0,34239.5,0.9108870832,18178.0,27744.0,6411.0,12700
964,Lincoln University,Jefferson City,MO,1,2045,0.5649263722,0.43507362780000003,0.1342,21.0,,0.1584,31400.0,23732.5,0.8895582329,24957.0,16516.0,5663.0,3046
965,Saint Norbert College,De Pere,WI,2,2041,0.5704989154,0.4295010846,0.0102,19.0,0.7922,0.7365,46400.0,27000.0,0.9490238612,85480.0,46159.0,7347.0,18888
966,Williams College,Williamstown,MA,2,2033,0.5123595506,0.48764044939999995,0.0058,19.0,0.1458,0.9376,59000.0,14489.0,0.595505618,52356.0,68430.0,12538.0,32171
967,Mount Saint Mary College,Newburgh,NY,2,2030,0.7261029412,0.27389705880000004,0.167,21.0,0.9338,0.5376,51600.0,26000.0,0.9503676471,63908.0,42763.0,8494.0,18159
968,Chicago State University,Chicago,IL,1,2025,0.7038191738,0.29618082619999997,0.6151,28.0,0.7787,0.1302,33800.0,31862.0,0.8597038192,15134.0,21270.0,7288.0,7904
969,Dakota State University,Madison,SD,1,2024,0.3829604131,0.6170395869,0.2549,23.0,0.8436,0.3605,38700.0,24446.5,0.9432013769,50856.0,20501.0,7440.0,7477
970,Carleton College,Northfield,MN,2,2023,0.4594594595,0.5405405405,0.0024,19.0,0.212,0.9419,54200.0,20000.0,0.855036855,78779.0,66490.0,11601.0,31652
971,Lewis & Clark College,Portland,OR,2,2021,0.6199324324,0.38006756760000004,0.0138,19.0,0.7137,0.8007,46200.0,24144.0,0.9155405405,76292.0,61382.0,9721.0,24831
972,Eckerd College,Saint Petersburg,FL,2,2018,0.653164557,0.346835443,0.0614,21.0,0.7273,0.6952,42200.0,26549.0,0.917721519,77695.0,57085.0,7550.0,22903
973,North Park University,Chicago,IL,2,2018,0.6128078818,0.3871921182,0.1543,22.0,0.5373,0.5863,43700.0,25620.0,0.9280788177,45181.0,35735.0,7840.0,17681
974,Langston University,Langston,OK,1,2012,0.6067961165,0.3932038835,0.1545,21.0,,0.0909,27700.0,25000.0,0.8647711512,25135.0,20184.0,5648.0,3825
975,University of South Carolina-Beaufort,Bluffton,SC,1,2011,0.7092476489,0.2907523511,0.1719,22.0,0.6445,0.2727,36800.0,24995.0,0.8926332288,36859.0,23052.0,7348.0,6808
976,Luther College,Decorah,IA,2,2008,0.5242718447,0.4757281553,0.0102,19.0,0.6509,0.8006,47400.0,27000.0,0.9733009709,92364.0,52524.0,7677.0,17399
977,Moravian College,Bethlehem,PA,2,2007,0.5936329588,0.4063670412,0.096,20.0,0.7597,0.631,51100.0,27000.0,0.9775280899,71944.0,54220.0,7866.0,18986
978,Westminster College,Salt Lake City,UT,2,2002,0.609394314,0.390605686,0.1567,22.0,0.9271,0.6185,49800.0,25000.0,0.8899876391,56805.0,43464.0,8012.0,18546
979,Albright College,Reading,PA,2,1999,0.6258879242,0.37411207580000005,0.1638,22.0,0.5004,0.5318,46700.0,28000.0,0.9471191792,47557.0,55167.0,6485.0,14179
980,Neumann University,Aston,PA,2,1997,0.6633484163,0.33665158370000003,0.2221,23.0,0.9628,0.5664,44300.0,27000.0,0.9574660633,51006.0,41734.0,6983.0,18913
981,West Liberty University,West Liberty,WV,1,1994,0.6127744511,0.38722554890000005,0.0965,21.0,0.7176,0.4789,36400.0,23250.0,0.8912175649,45145.0,20767.0,6321.0,6089
982,Lincoln University,Lincoln University,PA,1,1994,0.6147220047,0.38527799529999995,0.1009,21.0,0.7968,0.4623,34600.0,31000.0,0.9639780736,30819.0,26226.0,8561.0,10348
983,Roanoke College,Salem,VA,2,1990,0.5968523002,0.4031476998,0.0265,19.0,0.6719,0.6704,44700.0,27000.0,0.9564164649,82237.0,56088.0,7799.0,16199
984,Claflin University,Orangeburg,SC,2,1990,0.6700680272,0.3299319728,0.0991,21.0,0.4117,0.5319,28500.0,33000.0,0.925170068,25693.0,32079.0,6980.0,11515
985,Gwynedd Mercy University,Gwynedd Valley,PA,2,1987,0.7764326069,0.22356739309999996,0.383,25.0,0.9377,0.4932,54300.0,25000.0,0.9733656174,41705.0,43442.0,6843.0,16240
986,Great Basin College,Elko,NV,1,1981,0.663434903,0.33656509700000004,0.4276,27.0,,0.2778,31300.0,9732.0,0.2936288089,22838.0,14477.0,7773.0,2667
987,Concordia College at Moorhead,Moorhead,MN,2,1980,0.581032413,0.41896758700000003,0.0128,19.0,0.616,0.6967,44500.0,27000.0,0.9771908764,87417.0,47672.0,7279.0,17923
988,University of Lynchburg,Lynchburg,VA,2,1979,0.6171548117,0.38284518830000003,0.0639,20.0,0.7455,0.5881,43600.0,27000.0,0.9550209205,67259.0,48479.0,7551.0,15248
989,Rhode Island School of Design,Providence,RI,2,1976,0.6612149533,0.3387850467,0.0238,19.0,0.3193,0.9115,51100.0,27000.0,0.9392523364,81183.0,66047.0,10380.0,39677
990,Rhodes College,Memphis,TN,2,1975,0.5427435388,0.45725646119999996,0.002,19.0,0.5105,0.8279,53600.0,25025.0,0.9284294235,108000.0,59455.0,8479.0,18964
991,Art Center College of Design,Pasadena,CA,2,1974,0.5523465704,0.4476534296,0.2868,22.0,0.7036,0.6759,53600.0,31624.0,0.8718411552,30283.0,62312.0,7584.0,33813
992,West Coast University-Orange County,Anaheim,CA,3,1973,0.7977900552,0.20220994479999999,0.6305,27.0,0.9667,0.5,54900.0,33937.5,0.9615469613,29657.0,49030.0,8101.0,27774
993,Robert Morris University Illinois,Chicago,IL,2,1971,0.4886251236,0.5113748764,0.1907,23.0,0.6688,0.3913,32300.0,24331.0,0.9144411474,29765.0,35676.0,7006.0,16516
994,The College of Wooster,Wooster,OH,2,1970,0.506557377,0.49344262299999997,0.0035,19.0,0.5644,0.7671,46300.0,26000.0,0.9573770492,88984.0,59800.0,8476.0,18803
995,Berry College,Mount Berry,GA,2,1963,0.6193633952,0.38063660479999994,0.0096,19.0,0.616,0.6409,40000.0,24093.5,0.9270557029,82687.0,48001.0,8101.0,14627
996,Inter American University of Puerto Rico-Fajardo,Fajardo,PR,2,1959,0.5718370264,0.4281629736,0.1953,22.0,0.8116,0.3481,19800.0,4000.0,0.1279485347,8816.0,11053.0,4333.0,5221
997,Occidental College,Los Angeles,CA,2,1958,0.5845070423,0.41549295770000005,0.0076,19.0,0.4179,0.8436,50600.0,23215.0,0.9366197183,76004.0,69442.0,11132.0,29036
998,EDP University of Puerto Rico Inc-San Juan,San Juan,PR,2,1958,0.664742268,0.335257732,0.6195,28.0,0.8367,0.3626,18700.0,10500.0,0.4692783505,7153.0,12497.0,2205.0,7388
999,Lindsey Wilson College,Columbia,KY,2,1958,0.6268221574,0.3731778426,0.1702,23.0,,0.3519,28800.0,18750.0,0.8316326531,25540.0,36324.0,5750.0,8637
